Key,Source,Context,Changes,English,French,German,Klingon,Spanish

---------- QUESTS ----------
challenge_massacre,,Challenge Info,KgNone,Massacre,,Massaker,,
challenge_massacre_desc,,Challenge Info,KgNone,Kill Zombies,,Töte Zombies,,
challenge_massacre_subtitle,,Challenge Info,KgNone,Kill Zombies,,Töte Zombies,,
challenge_massacre_offer,,Challenge Info,KgNone,"It takes over the zombies.\nYou can not go out the door every day without anyone chewing on your heels. I think it's necessary to decimate these beasts. \nI would like to have half a pound of dead zombies.",,"Es nimmt überhand mit den Zombies.\nMan kann keinen Tag vor die Tür gehen, ohne dass jemand einem die Fersen abknabbern will. Ich denke es ist notwendig diese Biester zu dezimieren.\nIch hät dann gern ein halbes Pfund toter Zombies.",,

challenge_wildhunt,,Challenge Info,KgNone,Wildhunt,,Wild Jagd,,
challenge_wildhunt_desc,,Challenge Info,KgNone,Hunt Animals,,Jage Tiere,,
challenge_wildhunt_subtitle,,Challenge Info,KgNone,Hunt Animals,,Jage Tiere,,
challenge_wildhunt_offer,,Challenge Info,KgNone,"You're still alive, thats good.Would be better so survive for the Future would be greater than good.\nNow i gonna start teaching you, how to get the right way to Hunt down Animals.",,"Noch zu leben ist gut, aber es wäre besser auch weiterhin zu überleben.\nDazu empfhielt es sich, sich mit der Jagd vertraut zu machen. Hier gehen wir das Wild der Natur durch.",,

challenge_thelastoffensive,,Challenge Info,KgNone,Last Man Standing,,Bis zum Letzen Mann,,
challenge_thelastoffensive_desc,,Challenge Info,KgNone,Survive until the End,,Überlebe bis zum Schluss,,
challenge_thelastoffensive_subtitle,,Challenge Info,KgNone,Survive until the End,,Überlebe bis zum Schluss,,
challenge_thelastoffensive_offer,,Challenge Info,KgNone,"The main Ability to Survive is related with the Ability to know how to kill the fiend and foe. Show yourself how good you're",,"Die Hauptfähigkeit die man benötigt um zu überleben ist neben der Jagd auch das KnowHow wie man mit den Teufel und seinen Feinden umzugehen hat.Wenn du sie tötest können sie dich nicht töten, also mach dich an die Arbeit!",,

challenge_freeExp,,Challenge Info,KgNone,Education to Go,,Bildung zum mitnehmen,,
challenge_freeExp_desc,,Challenge Info,KgNone,Read it to be Smarter,,Lese es um klüger zu werden,,
challenge_freeExp_subtitle,,Challenge Info,KgNone,Read it to be Smarter,,Lese es um klüger zu werden,,
challenge_freeExp_offer,,Challenge Info,KgNone,"The logical consequence if you read Guides and Tutorials are, you get a bit smarter.Dont be shy, read it!",,"Die logische Konsequenz wenn man Anleitung liest ist, dass man daraus schlau wird. Also sei nicht schüchtern und lies die Info",,

challenge_freeSkill,,Challenge Info,KgNone,Education to Go,,Bildung zum mitnehmen,,
challenge_freeSkill_desc,,Challenge Info,KgNone,Read it to be Smarter,,Lese es um klüger zu werden,,
challenge_freeSkill_subtitle,,Challenge Info,KgNone,Read it to be Smarter,,Lese es um klüger zu werden,,
challenge_freeSkill_offer,,Challenge Info,KgNone,"The logical consequence if you read Guides and Tutorials are, you get a bit smarter.Dont be shy, read it!",,"Die logische Konsequenz wenn man Anleitung liest ist, dass man daraus schlau wird. Also sei nicht schüchtern und lies die Info",,

challenge_wannaBeFreeExp,,Challenge Info,KgNone,Piece of Education,,Stückchen Bildung,,
challenge_wannaBeFreeExp_desc,,Challenge Info,KgNone,Read it to be Smarter,,Lese es um klüger zu werden,,
challenge_wannaBeFreeExp_subtitle,,Challenge Info,KgNone,Read it to be Smarter,,Lese es um klüger zu werden,,
challenge_wannaBeFreeExp_offer,,Challenge Info,KgNone,"The logical consequence if you read Guides and Tutorials are, you get a bit smarter.Dont be shy, read it!",,"Die logische Konsequenz wenn man Anleitung liest ist, dass man daraus schlau wird. Also sei nicht schüchtern und lies die Info",,

challenge_birdMan,,Challenge Info,KgNone,Bird Man,,Vogel Freund,,
challenge_birdMan_desc,,Challenge Info,KgNone,Hunt Animals,,Jage Tiere,,
challenge_birdMan_subtitle,,Challenge Info,KgNone,Hunt Animals,,Jage Tiere,,
challenge_birdMan_offer,,Challenge Info,KgNone,"We got reported about the harassment of vultures on other People, they need to be thin a bit.",,"Die Berichte von überlebenden die durch Angriffe durch Geier sich schwer verletzen und erkranken häufen sich.Wir müssen dagegen etwas unternehmen!",,

challenge_missingchilds,,Challenge Info,KgNone,Missing Childs,,Vermisste Kinder,,
challenge_missingchilds_desc,,Challenge Info,KgNone,Hunt Zombies,,Jage Zombies,,
challenge_missingchilds_subtitle,,Challenge Info,KgNone,Hunt Zombies,,Jage Zombies,,
challenge_missingchilds_offer,,Challenge Info,KgNone,"Like the letter said. Some Girls and his Teacher was missing for a long while until the City stops to research. This Letter shows a Location on the Map. maybe we could clear the Fog about this mystery",,"Eine Mädchenklasse und ihr Lehrer wurden vor langerzeit Gesucht gemeldet. Die Stadt hat irgendwann die Nachforschungen aufgegeben. Hier auf dem Zettel ist ein Ord makiert, vielleicht können wir doch Licht ins Dunkle bringen und die Sache aufklären.",,

challenge_horde,,Challenge Info,KgNone,The Horde,,Die Horde,,
challenge_horde_desc,,Challenge Info,KgNone,Hunt Zombies,,Jage Zombies,,
challenge_horde_subtitle,,Challenge Info,KgNone,Hunt Zombies,,Jage Zombies,,
challenge_horde_offer,,Challenge Info,KgNone,"A Noteblock from a Officer namen MacAugustine, he wrote down a notice about a Zombie Hideour",,"Ein Notizblock von einem Polizisten names MacAugustine, er beschreibt einen Ort was als Versteck der Zombies dienen soll.",,

challenge_killingseries_one,,Challenge Info,KgNone,Killing Series,,Mordserie,,
challenge_killingseries_one_desc,,Challenge Info,KgNone,Hunt Zombies for Rewards,,Jage Zombies für Belohnungen,,
challenge_killingseries_one_subtitle,,Challenge Info,KgNone,Hunt Zombies for Reward,,Jage Zombies für Belohnungen,,
challenge_killingseries_one_offer,,Challenge Info,KgNone,"Its not a hard Deal, just kill so much Zombies as u can, and get Rewarded for it!",,"Es ist keine große Sache, töte einfach alle Zombies die dir begegnen und lass dich dafür belohnen!",,

challenge_killingseries_two_one,,Challenge Info,KgNone,Killing Series 2,,Mordserie 2,,
challenge_killingseries_two_one_desc,,Challenge Info,KgNone,Hunt Zombies for Rewards,,Jage Zombies für Belohnungen,,
challenge_killingseries_two_one_subtitle,,Challenge Info,KgNone,Hunt Zombies for Reward,,Jage Zombies für Belohnungen,,
challenge_killingseries_two_one_offer,,Challenge Info,KgNone,"Its not a hard Deal, just kill so much Zombies as u can, and get Rewarded for it!",,"Es ist keine große Sache, töte einfach alle Zombies die dir begegnen und lass dich dafür belohnen!",,

challenge_welcomeMod,,Challenge Info,KgNone,Wellcome to New Life Experience,,Willkommen bei New Life Experience,,
challenge_welcomeModdesc,,Challenge Info,KgNone,You will Survive,,Du wirst überleben,,
challenge_welcomeModsubtitle,,Challenge Info,KgNone,You will Survive,,Du wirst Überleben,,
challenge_welcomeModoffer,,Challenge Info,KgNone,"Welcome Surviver, in near Future you'll be possible to read a new Text here to start a New Story Questline around the NLE Mod.",,"An alle überlebenden, In diesem Schriftstück werdet ihr in naher Zukunft eine neue Story Aufgabenreihe starten können die sich rund um die NLE Mod drehen wird.Bis es jedoch soweit ist, wird dieses Item einfach nur ein Platzhalter sein.",,

challenge_wolvesDen,,Challenge Info,KgNone,The Wolves Den,,Das Versteck der Wölfe,,
challenge_wolvesDen_desc,,Challenge Info,KgNone,Take your Time to Catch the Wolves,,Nehm dir die Zeit um die Wölfe zu erlegen,,
challenge_wolvesDen_subtitle,,Challenge Info,KgNone,Time to Hunt Wolves,,Zeit Wölfe zu jagen,,
challenge_wolvesDen_offer,,Challenge Info,KgNone,"There a small Spot near you, there living some Wolves with her Leader.\nMaybe a good Hunter could kill them.",,"Ganz in deiner Nähe befindet sich ein Wolfslager welches einige Wölfe und einen Anführer beherbergen.\nEin guter Jäger sollte mit ihnen fertig werden.",,

challenge_bearsDen,,Challenge Info,KgNone,The Bears Den,,Das Versteck der Bären,,
challenge_bearsDen_desc,,Challenge Info,KgNone,Take your Time to Catch the Bears,,Nehm dir die Zeit um die Bären zu erlegen,,
challenge_bearsDen_subtitle,,Challenge Info,KgNone,Time to Hunt Bears,,Zeit Bären zu jagen,,
challenge_bearsDen_offer,,Challenge Info,KgNone,"There a small Spot near you, there living some Bears.\nMaybe a good Hunter could kill them.",,"Ganz in deiner Nähe befindet sich ein Bärenlager mit einigen Bären.\nEin guter Jäger sollte mit ihnen fertig werden.",

challenge_chickenHeaven,,Challenge Info,KgNone,Chicken Heaven,,Hühnerhimmel,,
challenge_chickenHeaven_desc,,Challenge Info,KgNone,Find the Los Pollos Hermanos Chickenfarm,,Finde die Los Pollos Hermanos Hühnerzucht,,
challenge_chickenHeaven_subtitle,,Challenge Info,KgNone,Chicken Nugget Time,,Chicken Nugget Zeit,,
challenge_chickenHeaven_offer,,Challenge Info,KgNone,"The Los Pollos Hermano group has one of there Chickenfarms nearby. After the epedemic we should take a loot at it!",,"Die Los Pollos Hermanos Gruppe besitzt in der Nähe eine Hühnerzucht. Nach der Epedemie sollte da nicht mehr viel los sein. Vielleicht riskiert man mal ein Blick",
