Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish


PistolframeDesc,items,Ammo,New,Used for creating Pistols.,,,,,
MagnumframeDesc,items,Ammo,New,Used for creating Magnums.,,,,,
SMGframeDesc,items,Ammo,New,Used for creating SMGs.,,,,,
RifleframeDesc,items,Ammo,New,Used for creating Rifles.,,,,,
DMRframeDesc,items,Ammo,New,Used for creating DMRs.,,,,,
AKframeDesc,items,Ammo,New,Used for creating Assault Rifles.,,,,,
LMGframeDesc,items,Ammo,New,Used for creating LMGs.,,,,,
PumpshotgunframeDesc,items,Ammo,New,Used for creating pump action weapons.,,,,,
SxSshotgunframeDesc,items,Ammo,New,Used for creating double barrel weapons.,,,,,





gunPumpShotgun,items,GunShotgun,KgNone,Mossberg 590 [12 Gauge],Fusil à pompe,Schrotflinte,,Escopeta,
gunPumpShotgunSchematic,items,GunShotgun,KgNone,Mossberg 590 [12 Gauge] Schematic,Schéma de fusil à pompe,Bauplan – Schrotflinte,,Esquema de escopeta,

gunPistol,items,GunPistol,KgNone,Beretta M9 [9mm],Pistolet,Pistole,,Revólver,
gunPistolSchematic,items,GunPistol,New,Beretta M9 [9mm] Schematic,,,,,

gun44Magnum,items,GunPistol,KgNone,S&W Model 629 [.44 Magnum],.44 magnum,.44 Magnum,,Magnum .44,
gun44MagnumSchematic,items,GunPistol,New,S&W Model 629 [.44 Magnum] Schematic,,,,,

gunSMG5,items,GunPistol,KgNone,MP5 [9mm],Mitraillette,Maschinenpistole,,Metralleta,
gunSMG5Schematic,items,GunPistol,KgNone,MP5 [9mm] Schematic,Schéma de mitraillette,Bauplan – Maschinenpistole,,Esquema de metralleta,

gunDoubleBarrelShotgun,items,GunShotgun,New,Remington Model-1887 [12 Gauge],,,,,
gunDoubleBarrelShotgunSchematic,items,GunShotgun,New,Remington Model-1887 [12 Gauge] Schematic,,,,,

gunHuntingRifle,items,GunRifle,KgNone,Remington 700 [7.62],Fusil de chasse,Jagdgewehr,,Rifle de caza,
gunHuntingRifleSchematic,items,GunRifle,New,Remington 700 [7.62] Schematic,,,,,

gunMR10,items,GunRifle,KgNone,R11 RSASS [7.62],MR-10,MR-10,,MR-10,
gunMR10Schematic,items,GunRifle,KgNone,R11 RSASS [7.62] Schematic,Schéma de fusil de précision,Bauplan – Präzisionsgewehr,,Esquema de rifle de francotirador,

gunAK47,items,GunMG,KgNone,Kalashnikov AK-47 [7.62],Fusil d'assaut AK-47,AK-47 Sturmgewehr,,Rifle de asalto AK-47,
gunAK47Schematic,items,GunMG,KgNone,Kalashnikov AK-47 [7.62] Schematic,Schéma d'AK-47,Bauplan – AK-47,,Esquema de AK-47,

gunM60,items,GunMG,New,M60E4 [7.62],,M60 Maschinengewehr,,,






M922Desc,items,Ammo,New,This Beretta M9 can use .22 Short and Long-Rifle ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
M9380Desc,items,Ammo,New,This Beretta M9 uses .380 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
